DateTimeStamp        , Code                                                       , Nr., Start    , End      , Done , Produ, Azure, BinCh,  Duration, Total, Log , Error , Tolerance , link
2021.01.04 19:05:50  , CopyTailoredBeforePrototypesBeforeDurians                  , 38 , 19:05:50 , 19:06:02 , True , False, False, False,        12,      ,    2,      0,          0, , 
2021.01.04 19:06:03  , ReloadSolutionFirst                                        , 39 , 19:06:03 , 19:06:12 , True , False, False, False,         9,      ,    2,      0,          0, , 
2021.01.04 19:06:14  , IncludeTailoredDirectories                                 , 40 , 19:06:13 , 19:07:29 , True , False, False, False,        76,      ,  629,      0,          0, , 
2021.01.04 19:07:31  , IncludeTailoredFiles                                       , 41 , 19:07:31 , 19:08:07 , True , False, False, False,        37,      ,  212,      0,          0, , 
2021.01.04 19:08:09  , ReloadSolutionSecond                                       , 42 , 19:08:09 , 19:08:23 , True , False, False, False,        15,      ,    2,      0,          0, , 
2021.01.04 19:08:25  , ExcludeSqlFilesFromBuild                                   , 43 , 19:08:25 , 19:08:27 , True , False, False, False,         2,      ,    4,      0,          0, , 
2021.01.04 19:08:29  , ExcludeDatabaseProjectFromBuild                            , 44 , 19:08:28 , 19:08:31 , True , False, False, False,         3,      ,    2,      0,          0, , 
2021.01.04 19:08:33  , CreateAzureWebAppRestLayer                                 , 45 , 19:08:33 , 19:08:47 , True , True , False, False,        14,      ,   17,      0,          0, http:\\NorSolutionPortCore.azurewebsites.net, 
2021.01.04 19:08:48  , CreateAzureWebAppsSoapLayer                                , 46 , 19:08:48 , 19:09:04 , True , True , False, False,        16,      ,   17,      0,          0, http:\\NorSolutionPortBusiness.azurewebsites.net, 
2021.01.04 19:09:05  , CreateAzureWebAppsWebLayer                                 , 47 , 19:09:05 , 19:09:16 , True , True , False, False,        11,      ,   17,      0,          0, http:\\NorSolutionPort.azurewebsites.net, C:\Users\auneb\sql2x\Operational\
2021.01.04 19:09:17  , CreateAzureWebAppsCoreThreeLayer                           , 48 , 19:09:17 , 19:09:18 , True , True , False, False,         1,      ,    1,      0,          0, file://C:\SQL2XProjects\SolutionNorSolutionPort\testPoints.html, file:\C:\SQL2XProjects\SolutionNorSolutionPort
2021.01.04 19:09:20  , BuildOne                                                   , 49 , 19:09:19 , 19:10:16 , True , False, False, False,        57,      ,    1,      0,          0, , 
2021.01.04 19:10:17  , ReloadSolutionBeforeDurians                                , 50 , 19:10:17 , 19:10:28 , True , False, False, False,        11,      ,    2,      0,          0, , 
2021.01.04 19:10:30  , ProcessDurians                                             , 51 , 19:10:30 , 19:17:14 , True , False, False, False,       404,      ,  539,      0,          0, C:\SQL2XProjects\SolutionNorSolutionPort\Data, C:\SQL2XProjects\SolutionNorSolutionPort
2021.01.04 19:17:15  , ProcessTemplates                                           , 52 , 19:17:15 , 19:24:22 , True , False, False, False,       427,      , 1071,      1,          5, , 
2021.01.04 19:24:24  , ProcessTemplatesIndex                                      , 53 , 19:24:24 , 19:24:26 , True , False, False, False,         2,      ,    2,      0,          1, C:\SQL2XProjects\SolutionNorSolutionPort\ASP\, C:\SQL2XProjects\SolutionNorSolutionPort\ASP
2021.01.04 19:24:27  , CreateSolutionDotNetCoreRestMakeupAfterTemplateAndDurian   , 54 , 19:24:27 , 19:24:50 , True , False, False, False,        23,      ,    1,      0,          0, , 
2021.01.04 19:24:51  , TypeScriptTransliterate                                    , 55 , 19:24:51 , 19:24:53 , True , False, False, False,         2,      ,    1,      0,          0, , 
2021.01.04 19:24:55  , SelectEnvironment                                          , 56 , 19:24:55 , 19:25:26 , True , True , False, False,        31,      ,   17,      0,          0, https://NorSolutionPort.azurewebsites.net, 
2021.01.04 19:25:27  , ReloadSolutionThird                                        , 57 , 19:25:27 , 19:25:43 , True , False, False, False,        16,      ,    2,      0,          0, , 
2021.01.04 19:25:44  , AddVersionStamps                                           , 58 , 19:25:44 , 19:25:46 , True , False, False, False,         2,      ,    7,      0,          0, , 
2021.01.04 19:25:48  , AzurePublishDotNetFrameworkBusinessWebAppPublishToAzureByPo, 59 , 19:25:48 , 19:27:05 , True , True , False, False,        77,      , 1412,      0,          0, C:\Windows\System32\notepad.exe@'C:\SQL2XProjects\SolutionNorSolutionPort\Business\Operational\Build package to disk.bat', C:\SQL2XProjects\SolutionNorSolutionPort\Business\Operational
2021.01.04 19:27:07  , CreateProxies                                              , 60 , 19:27:07 , 19:27:18 , True , False, False, False,        12,      ,   25,      0,          0, , 
2021.01.04 19:27:20  , ResetEnvironment                                           , 61 , 19:27:20 , 19:27:53 , True , False, False, False,        34,      ,    1,      0,          0, , 
2021.01.04 19:27:55  , PublishWinFormLayerIncludeTailoredFilesBeforePublish       , 62 , 19:27:55 , 19:28:14 , True , False, False, False,        19,      ,  187,      0,          0, , 
2021.01.04 19:28:15  , PublishWinFormLayer                                        , 63 , 19:28:15 , 19:28:23 , True , False, False, False,         8,      ,  105,      0,          0, C:\SQL2XProjects\SolutionNorSolutionPort\Web\Install, C:\SQL2XProjects\SolutionNorSolutionPort\Web
2021.01.04 19:28:25  , PublishWinFormLayerMakeInstallPublish                      , 64 , 19:28:24 , 19:28:26 , True , False, False, False,         1,      ,    1,      0,          0, , 
2021.01.04 19:28:27  , PublishWinFormLayerIncludeTailoredDirectoriesAfterPublish  , 65 , 19:28:27 , 19:28:30 , True , False, False, False,         3,      ,    5,      0,          0, , 
2021.01.04 19:28:31  , PublishWinFormLayerIncludeTailoredFilesAfterPublish        , 66 , 19:28:31 , 19:29:14 , True , False, False, False,        43,      ,  206,      0,          0, , 
2021.01.04 19:29:16  , PublishDotNetCoreWebAppToAzureExtractPassword              , 67 , 19:29:16 , 19:29:30 , True , True , False, False,        14,      ,   18,      0,          0, C:\Windows\System32\notepad.exe@'C:\SQL2XProjects\SolutionNorSolutionPort\ASP\Operational\WebAppPassword.txt', C:\SQL2XProjects\SolutionNorSolutionPort\ASP\Operational
2021.01.04 19:29:31  , PublishDotNetCoreWebAppToAzureCreatePublishBat             , 68 , 19:29:31 , 19:29:32 , True , True , False, False,         2,      ,    1,      0,          0, C:\Windows\System32\notepad.exe@'C:\SQL2XProjects\SolutionNorSolutionPort\ASP\Operational\publish.bat', C:\SQL2XProjects\SolutionNorSolutionPort\ASP\Operational
2021.01.04 19:29:34  , PublishDotNetCoreWebAppToAzureBuild                        , 69 , 19:29:34 , 19:30:20 , True , True , False, False,        46,      ,    1,      0,          0, , 
